Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt1856010,2022-01-01,2022-01-01,,House of Cards,https://www.imdb.com/title/tt1856010/,tvSeries,8.7,51,2013,Drama,504359,2013-02-01,
2,tt2309295,2022-01-01,2022-01-01,,Hemlock Grove,https://www.imdb.com/title/tt2309295/,tvSeries,7.0,46,2013,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",40669,2013-04-18,
3,tt2372162,2022-01-01,2022-01-01,,Orange Is the New Black,https://www.imdb.com/title/tt2372162/,tvSeries,8.1,59,2013,"Comedy, Crime, Drama",302725,2013-07-11,
4,tt2189461,2022-01-01,2022-01-01,,Marco Polo,https://www.imdb.com/title/tt2189461/,tvSeries,8.0,60,2014,"Action, Adventure, Drama, History",73258,2014-12-12,
5,tt3520702,2022-01-01,2022-01-01,,Bloodline,https://www.imdb.com/title/tt3520702/,tvSeries,7.9,60,2015,"Drama, Thriller",53047,2015-02-09,
6,tt3322312,2022-01-01,2022-01-01,,Daredevil,https://www.imdb.com/title/tt3322312/,tvSeries,8.6,54,2015,"Action, Crime, Drama, Fantasy, Sci-Fi, Thriller",440501,2015-04-02,
7,tt2431438,2022-01-01,2022-01-01,,Sense8,https://www.imdb.com/title/tt2431438/,tvSeries,8.2,60,2015,"Drama, Mystery, Sci-Fi, Thriller",154910,2015-06-05,
8,tt2707408,2022-01-01,2022-01-01,,Narcos,https://www.imdb.com/title/tt2707408/,tvSeries,8.8,49,2015,"Biography, Crime, Drama, Thriller",421532,2015-08-28,
9,tt2357547,2022-01-01,2022-01-01,,Jessica Jones,https://www.imdb.com/title/tt2357547/,tvSeries,7.9,56,2015,"Action, Crime, Drama, Sci-Fi, Thriller",215045,2015-10-10,
10,tt4592410,2022-01-01,2022-01-01,,The Get Down,https://www.imdb.com/title/tt4592410/,tvSeries,8.2,52,2016,"Drama, Music, Musical",22721,2016-08-12,
11,tt3322314,2022-01-01,2022-01-01,,Luke Cage,https://www.imdb.com/title/tt3322314/,tvSeries,7.3,55,2016,"Action, Crime, Drama, Sci-Fi, Thriller",131738,2016-09-28,
12,tt4635282,2022-01-01,2022-01-01,,The OA,https://www.imdb.com/title/tt4635282/,tvSeries,7.8,60,2016,"Drama, Fantasy, Mystery, Sci-Fi",105334,2016-12-16,
13,tt4834206,2022-01-01,2022-01-01,,A Series of Unfortunate Events,https://www.imdb.com/title/tt4834206/,tvSeries,7.8,50,2017,"Adventure, Comedy, Drama, Family, Mystery",61366,2017-01-11,
14,tt3322310,2022-01-01,2022-01-01,,Iron Fist,https://www.imdb.com/title/tt3322310/,tvSeries,6.4,55,2017,"Action, Adventure, Crime, Fantasy, Sci-Fi",131630,2017-03-15,
15,tt1837492,2022-01-01,2022-01-01,,13 Reasons Why,https://www.imdb.com/title/tt1837492/,tvSeries,7.5,60,2017,"Drama, Mystery, Thriller",292618,2017-03-31,
16,tt6928052,2022-01-01,2022-01-01,,Free Rein,https://www.imdb.com/title/tt6928052/,tvSeries,7.2,26,2017,"Action, Adventure, Comedy, Drama, Family, Mystery",2189,2017-06-22,
17,tt5503718,2022-01-01,2022-01-01,,Gypsy,https://www.imdb.com/title/tt5503718/,tvSeries,6.8,51,2017,"Drama, Thriller",17168,2017-06-30,
18,tt6076336,2022-01-01,2022-01-01,,Greenhouse Academy,https://www.imdb.com/title/tt6076336/,tvSeries,6.6,25,2017,Drama,6318,2017-09-08,
19,tt5290382,2022-01-01,2022-01-01,,Mindhunter,https://www.imdb.com/title/tt5290382/,tvSeries,8.6,60,2017,"Crime, Drama, Mystery, Thriller",288230,2017-10-13,
20,tt5675620,2022-01-01,2022-01-01,,The Punisher,https://www.imdb.com/title/tt5675620/,tvSeries,8.5,53,2017,"Action, Crime, Drama, Thriller",236229,2017-11-06,
21,tt2261227,2022-01-01,2022-01-01,,Altered Carbon,https://www.imdb.com/title/tt2261227/,tvSeries,7.9,60,2018,"Action, Drama, Sci-Fi",170468,2018-01-11,
22,tt6297682,2022-01-01,2022-01-01,,Seven Seconds,https://www.imdb.com/title/tt6297682/,tvMiniSeries,7.7,60,2018,"Crime, Drama",16920,2018-02-23,
23,tt5232792,2022-01-01,2022-01-01,,Lost in Space,https://www.imdb.com/title/tt5232792/,tvSeries,7.3,60,2018,"Adventure, Drama, Family, Mystery, Sci-Fi",99913,2018-04-13,
24,tt7692572,2022-01-01,2022-01-01,,Ponysitters Club,https://www.imdb.com/title/tt7692572/,tvSeries,7.1,22,2017,Family,120,2018-08-10,
25,tt8021824,2022-01-01,2022-01-01,,The Innocents,https://www.imdb.com/title/tt8021824/,tvSeries,6.2,60,2018,"Drama, Horror, Mystery, Romance, Sci-Fi, Thriller",5923,2018-08-24,
26,tt7569592,2022-01-01,2022-01-01,,Chilling Adventures of Sabrina,https://www.imdb.com/title/tt7569592/,tvSeries,7.4,60,2018,"Drama, Fantasy, Horror, Mystery, Thriller",95595,2018-10-05,
27,tt8714904,2022-01-01,2022-01-01,,Narcos: México,https://www.imdb.com/title/tt8714904/,tvSeries,8.4,50,2018,"Crime, Drama",84395,2018-11-16,
28,tt6898970,2022-01-01,2022-01-01,,Tidelands,https://www.imdb.com/title/tt6898970/,tvSeries,6.8,60,2018,"Crime, Drama, Fantasy",8129,2018-12-14,
29,tt8295472,2022-01-01,2022-01-01,,The Order,https://www.imdb.com/title/tt8295472/,tvSeries,6.7,60,2019,"Drama, Fantasy, Horror",29250,2019-03-07,
