,type,title,release_year,api_url,target_url,audience_score,tomato_score
0,Movie,Dick Johnson Is Dead,2020,https://www.rottentomatoes.com/api/private/v2.0/search?q=Dick+Johnson+Is+Dead,https://www.rottentomatoes.com/m/dick_johnson_is_dead,78,99
1,TV Show,Blood & Water,2021,https://www.rottentomatoes.com/api/private/v2.0/search?q=Blood+and+Water,https://www.rottentomatoes.com/tv/blood_and_water_2015,-1,-1
2,TV Show,Ganglands,2021,https://www.rottentomatoes.com/api/private/v2.0/search?q=Ganglands,https://www.rottentomatoes.com/tv/ganglands/s01,86,-1
3,TV Show,Jailbirds New Orleans,2021,https://www.rottentomatoes.com/api/private/v2.0/search?q=Jailbirds+New+Orleans,https://www.rottentomatoes.com/tv/jailbirds_new_orleans/s01,100,-1
4,TV Show,Kota Factory,2021,https://www.rottentomatoes.com/api/private/v2.0/search?q=Kota+Factory,https://www.rottentomatoes.com/tv/kota_factory,89,-1
5,TV Show,Midnight Mass,2021,https://www.rottentomatoes.com/api/private/v2.0/search?q=Midnight+Mass,https://www.rottentomatoes.com/tv/midnight_mass/s01,78,86
6,Movie,My Little Pony: A New Generation,2021,https://www.rottentomatoes.com/api/private/v2.0/search?q=My+Little+Pony:+A+New+Generation,https://www.rottentomatoes.com/m/my_little_pony_a_new_generation,84,92
7,Movie,Sankofa,1993,https://www.rottentomatoes.com/api/private/v2.0/search?q=Sankofa,https://www.rottentomatoes.com/m/sankofa,89,93
8,TV Show,The Great British Baking Show,2021,https://www.rottentomatoes.com/api/private/v2.0/search?q=The+Great+British+Baking+Show,https://www.rottentomatoes.com/tv/the_great_british_baking_show,-1,87
9,Movie,The Starling,2021,https://www.rottentomatoes.com/api/private/v2.0/search?q=The+Starling,https://www.rottentomatoes.com/m/the_starling,69,19
10,TV Show,"Vendetta: Truth, Lies and The Mafia",2021,"https://www.rottentomatoes.com/api/private/v2.0/search?q=Vendetta:+Truth,+Lies+and+The+Mafia",https://www.rottentomatoes.com/tv/vendetta_truth_lies_and_the_mafia/s01,-1,-1
11,TV Show,Bangkok Breaking,2021,https://www.rottentomatoes.com/api/private/v2.0/search?q=Bangkok+Breaking,https://www.rottentomatoes.com/tv/bangkok_breaking/s01,57,-1
12,Movie,Je Suis Karl,2021,https://www.rottentomatoes.com/api/private/v2.0/search?q=Je+Suis+Karl,https://www.rottentomatoes.com/m/je_suis_karl,20,17
13,Movie,Confessions of an Invisible Girl,2021,https://www.rottentomatoes.com/api/private/v2.0/search?q=Confessions+of+an+Invisible+Girl,https://www.rottentomatoes.com/m/confessions_of_an_invisible_girl,33,-1
14,TV Show,Crime Stories: India Detectives,2021,https://www.rottentomatoes.com/api/private/v2.0/search?q=Crime+Stories:+India+Detectives,https://www.rottentomatoes.com/tv/crime_stories_india_detectives/s01,-1,-1
15,TV Show,Dear White People,2021,https://www.rottentomatoes.com/api/private/v2.0/search?q=Dear+White+People,https://www.rottentomatoes.com/tv/dear_white_people,39,88
16,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,2020,https://www.rottentomatoes.com/api/private/v2.0/search?q=Europe's+Most+Dangerous+Man:+Otto+Skorzeny+in+Spain,Not found on RT,-2,-2
17,TV Show,Falsa identidad,2020,https://www.rottentomatoes.com/api/private/v2.0/search?q=Falsa+identidad,Not found on RT,-2,-2
18,Movie,Intrusion,2021,https://www.rottentomatoes.com/api/private/v2.0/search?q=Intrusion,https://www.rottentomatoes.com/m/intrusion_2021,64,19
19,TV Show,Jaguar,2021,https://www.rottentomatoes.com/api/private/v2.0/search?q=Jaguar,https://www.rottentomatoes.com/tv/jaguar/s01,57,-1
20,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,2021,https://www.rottentomatoes.com/api/private/v2.0/search?q=Monsters+Inside:+The+24+Faces+of+Billy+Milligan,https://www.rottentomatoes.com/tv/monsters_inside_the_24_faces_of_billy_milligan/s01,23,-1
21,TV Show,Resurrection: Ertugrul,2018,https://www.rottentomatoes.com/api/private/v2.0/search?q=Resurrection:+Ertugrul,https://www.rottentomatoes.com/tv/resurrection_ertugrul,90,-1
22,Movie,Avvai Shanmughi,1996,https://www.rottentomatoes.com/api/private/v2.0/search?q=Avvai+Shanmughi,https://www.rottentomatoes.com/m/avvai-shanmughi,79,-1
23,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,https://www.rottentomatoes.com/api/private/v2.0/search?q=Go!+Go!+Cory+Carson:+Chrissy+Takes+the+Wheel,Not found on RT,-2,-2
24,Movie,Jeans,1998,https://www.rottentomatoes.com/api/private/v2.0/search?q=Jeans,https://www.rottentomatoes.com/m/jeans,56,-1
25,TV Show,Love on the Spectrum,2021,https://www.rottentomatoes.com/api/private/v2.0/search?q=Love+on+the+Spectrum,https://www.rottentomatoes.com/tv/love_on_the_spectrum,88,100
